2022-01-26 ; 17:58:15 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:58:15  ; Não definida ; ALUNO ; 0 ; 0 ; Iniciou aula Não definida
2022-01-26 ; 17:58:15 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:58:15  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: Olá ALUNO,  eu sou RoboEdu, seu tutor virtual.
2022-01-26 ; 17:58:39 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:58:39  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do usuário: Continuar
2022-01-26 ; 17:58:39 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:58:39  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: O problema que proponho que vc resolva é construir um jogo no estilo Arkanoid utilizando a ferramenta Construct. Aproveite e pesquise algo sobre a ferramenta proposta.
2022-01-26 ; 17:59:00 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:00  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do usuário: Ir para sumário principal
2022-01-26 ; 17:59:00 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:00  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: Esta aula é dividida em conjuntos de atividades que permitirão que vc progrida na resolução do problema proposto. Sinta-se à avontade para escolher a que vc quiser.
2022-01-26 ; 17:59:20 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:20  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do usuário: Montar cenário
2022-01-26 ; 17:59:20 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:20  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: Você quer saber como Montar cenário no Construct não é? Aqui você aprenderá como Montar cenário para o jogo Arkanoid.
2022-01-26 ; 17:59:41 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:41  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do usuário: Tiled background
2022-01-26 ; 17:59:41 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:41  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: Um vídeo foi aberto sobre o tema Tiled background.
2022-01-26 ; 17:59:55 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:55  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do usuário: Continuar
2022-01-26 ; 17:59:55 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2022-01-26 ; 17:59:55  ; Não definida ; ALUNO ; 0 ; 0 ; Escrita do bot: Você quer saber como Montar cenário no Construct não é? Aqui você aprenderá como Montar cenário para o jogo Arkanoid.
