2021-09-11 ; 19:27:30 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:30  ; Arkanoid ; Alan ; 0 ; 1 ; undefined ; Iniciou aula Arkanoid
2021-09-11 ; 19:27:30 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:30  ; Arkanoid ; Alan ; 0 ; 1 ; Apresentação ; Entrou_pagina
2021-09-11 ; 19:27:35 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:35  ; Arkanoid ; Alan ; 0 ; 1 ; Abertura ; Aceitou_missao
2021-09-11 ; 19:27:35 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:35  ; Arkanoid ; Alan ; 0 ; 1 ; Abertura ; Saiu_pagina
2021-09-11 ; 19:27:35 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:35  ; Arkanoid ; Alan ; 0 ; 1 ; Abertura ; Entrou_pagina
2021-09-11 ; 19:27:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:36  ; Arkanoid ; Alan ; 0 ; 1 ; AberturaVideo ; Ver_Video_Demo
2021-09-11 ; 19:27:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:36  ; Arkanoid ; Alan ; 0 ; 1 ; AberturaVideo ; Saiu_pagina
2021-09-11 ; 19:27:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:36  ; Arkanoid ; Alan ; 0 ; 1 ; AberturaVideo ; Entrou_pagina
2021-09-11 ; 19:27:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:36  ; Arkanoid ; Alan ; 0 ; 1 ; AberturaVideo ; PlayV time atual: 0 tempo total do vídeo: 28.398005
2021-09-11 ; 19:27:38 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:38  ; Arkanoid ; Alan ; 0 ; 1 ; AberturaVideo ; PauseV time atual: 1.902057 tempo total do vídeo: 28.398005
2021-09-11 ; 19:27:41 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:41  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário ; Fim_video_demo
2021-09-11 ; 19:27:41 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:41  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário ; Saiu_pagina
2021-09-11 ; 19:27:41 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:41  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário ; Entrou_pagina
2021-09-11 ; 19:27:47 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:47  ; Arkanoid ; Alan ; 0 ; 1 ; Missão - Montar cenário ; Selec_pag(intro-Missão - Montar cenário)
2021-09-11 ; 19:27:47 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:47  ; Arkanoid ; Alan ; 0 ; 1 ; Missão - Montar cenário ; Saiu_pagina
2021-09-11 ; 19:27:47 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:47  ; Arkanoid ; Alan ; 0 ; 1 ; Missão - Montar cenário ; Entrou_pagina
2021-09-11 ; 19:27:52 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:52  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário Montar cenário ; AvancarP
2021-09-11 ; 19:27:52 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:52  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário Montar cenário ; Saiu_pagina
2021-09-11 ; 19:27:52 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:52  ; Arkanoid ; Alan ; 0 ; 1 ; Sumário Montar cenário ; Entrou_pagina
2021-09-11 ; 19:27:56 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:56  ; Arkanoid ; Alan ; 0 ; 1 ; Tiled background ; Selec_pag(intro-Tiled background)
2021-09-11 ; 19:27:56 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:56  ; Arkanoid ; Alan ; 0 ; 1 ; Tiled background ; Saiu_pagina
2021-09-11 ; 19:27:56 ; 98t0old6sgqvpaq7vjus1mk5ia ; 2021-09-11 ; 19:27:56  ; Arkanoid ; Alan ; 0 ; 1 ; Tiled background ; Entrou_pagina
